iteration,agent_id,fitness,x0,x1
1, 89, 226.411, -398.559, -286.47
1, 90, 426.876, -409.613, -282.619
1, 91, -178.442, 74.5224, 110.753
1, 92, 439.421, 43.4387, -487.159
1, 93, 116.847, -49.568, -247.615
1, 94, 251.557, 276.158, -58.9013
1, 95, -556.454, -445.424, -392.766
1, 96, 176.044, 236.792, -325.931
1, 97, 110.231, -438.627, -436.015
1, 98, 361.38, -259.742, 99.8166
1, 99, -597.693, -482.557, -416.643
2, 0, 575.545, 196.473, 417.295
2, 1, -650.517, 258.511, -491.748
2, 2, -13.6764, -78.2996, -357.069
2, 3, 365.787, 18.2677, -458.168
2, 4, 461.81, -138.284, -403.654
2, 5, 110.725, -156.75, 512
2, 6, 114.037, -178.186, -4.92379
2, 7, -414.005, 357.134, -113.262
2, 8, 355.237, 305.94, -253.533
2, 9, -177.649, -161.962, -78.5087
2, 10, 139.246, 64.4553, -250.881
2, 11, 325.945, 152.1, 470.504
2, 12, -272.651, 232.512, -261.747
2, 13, 427.599, 147.074, -512
2, 14, -309.747, -209.613, 241.934
2, 15, -543.092, 462.953, -260.151
2, 16, -204.67, 326.78, -152.513
2, 17, -239.87, 242.277, 512
2, 18, -171.115, -431.864, 29.7245
2, 19, 327.847, -394.988, -47.9898
2, 20, -297.966, -71.0257, 196.572
2, 21, 8.38445, -44.2403, -512
2, 22, 317.172, -202.417, 368.488
2, 23, 252.754, -195.85, -182.235
2, 24, -63.1654, -340.189, -233.752
2, 25, -385.595, 49.7877, 352.745
2, 26, 399.911, -101.591, 289.115
2, 27, 59.8005, 148.214, -160.617
2, 28, 229.14, -444.107, -108.654
2, 29, -42.5935, 4.77327, -201.366
2, 30, -604.927, -465.397, -370.327
2, 31, -10.1509, 137, 129.083
2, 32, -84.1832, -152.146, 217.006
2, 33, -128.855, 512, -169.195
2, 34, -275.731, -419.457, -378.581
2, 35, 243.661, -468.627, -55.6225
2, 36, -330.774, 510.416, 91.2558
2, 37, -358.559, 57.9026, 358.249
2, 38, 264.595, 105.216, 410.594
2, 39, -161.067, -182.285, 499.745
2, 40, -349.664, -226.458, -511.867
2, 41, -290.388, -29.4722, -330.723
2, 42, -500.523, -218.354, 274.913
2, 43, -385.46, 184.602, -264.223
2, 44, 11.3715, -43.7608, -47.4802
2, 45, 275.031, 95.4887, 196.646
2, 46, -116.924, -113.573, -36.1792
2, 47, -651.815, 511.869, -275.705
2, 48, -252.864, -309.352, -36.5816
2, 49, -218.528, -163.66, 485.605
2, 50, 241.061, 39.6266, 259.546
2, 51, -283.683, -358.462, -88.9668
2, 52, 189.791, -190.94, -39.4496
2, 53, -150.044, -312.989, 466.186
2, 54, 209.724, -512, -358.953
2, 55, -83.0696, -177.918, -123.451
2, 56, -85.1989, 234.184, 221.874
2, 57, -534.658, 464.316, -314.253
2, 58, -17.0782, -92.4442, 64.3639
2, 59, -148.716, 444.991, 147.657
2, 60, 558.831, 108.224, -512
2, 61, -118.131, 42.4668, -214.444
2, 62, -182.986, 190.011, -49.4958
2, 63, 201.038, 453.307, 62.7245
2, 64, -52.0191, 217.211, 7.09453
2, 65, -543.378, 391.073, 512
2, 66, -301.98, -81.6837, 188.313
2, 67, -342.066, 224.893, -265.361
2, 68, 132.265, -84.6462, 126.249
2, 69, -523.661, 237.034, -465.747
2, 70, -254.644, 229.736, 511.886
2, 71, -508.851, -81.1372, 430.556
2, 72, -99.9118, -373.851, 165.014
2, 73, -217.692, -235.275, -446.264
2, 74, -96.8721, 2.59533, -307.98
2, 75, -483.772, -314.121, -455.599
2, 76, -89.2272, 215.447, -182.06
2, 77, -208.766, -42.2275, 443.058
2, 78, 87.3155, 22.4248, -233.133
